"date","Mkt.RF","RF"
2015-04-24,0.17,0
2015-04-27,-0.54,0
2015-04-28,0.27,0
2015-04-29,-0.38,0
2015-04-30,-1.11,0
2015-05-01,1.01,0
2015-05-04,0.32,0
2015-05-05,-1.19,0
2015-05-06,-0.31,0
2015-05-07,0.39,0
2015-05-08,1.21,0
2015-05-11,-0.39,0
2015-05-12,-0.27,0
2015-05-13,0.01,0
2015-05-14,1.01,0
2015-05-15,0.05,0
2015-05-18,0.44,0
2015-05-19,-0.09,0
2015-05-20,-0.05,0
2015-05-21,0.23,0
2015-05-22,-0.22,0
2015-05-26,-1.01,0
2015-05-27,0.93,0
2015-05-28,-0.12,0
2015-05-29,-0.58,0
2015-06-01,0.17,0
2015-06-02,-0.02,0
2015-06-03,0.39,0
2015-06-04,-0.88,0
2015-06-05,0.06,0
2015-06-08,-0.66,0
2015-06-09,0.02,0
2015-06-10,1.2,0
2015-06-11,0.21,0
2015-06-12,-0.63,0
2015-06-15,-0.45,0
2015-06-16,0.57,0
2015-06-17,0.16,0
2015-06-18,0.99,0
2015-06-19,-0.43,0
2015-06-22,0.63,0
2015-06-23,0.12,0
2015-06-24,-0.79,0
2015-06-25,-0.25,0
2015-06-26,-0.06,0
2015-06-29,-2.15,0
2015-06-30,0.34,0
2015-07-01,0.61,0
2015-07-02,-0.11,0
2015-07-06,-0.37,0
2015-07-07,0.53,0
2015-07-08,-1.68,0
2015-07-09,0.29,0
2015-07-10,1.24,0
2015-07-13,1.14,0
2015-07-14,0.47,0
2015-07-15,-0.19,0
2015-07-16,0.78,0
2015-07-17,0.05,0
2015-07-20,-0.01,0
2015-07-21,-0.47,0
2015-07-22,-0.18,0
2015-07-23,-0.6,0
2015-07-24,-1.08,0
2015-07-27,-0.74,0
2015-07-28,1.23,0
2015-07-29,0.74,0
2015-07-30,0.12,0
2015-07-31,-0.15,0
2015-08-03,-0.34,0
2015-08-04,-0.14,0
2015-08-05,0.36,0
2015-08-06,-0.88,0
2015-08-07,-0.36,0
2015-08-10,1.31,0
2015-08-11,-0.98,0
2015-08-12,0.07,0
2015-08-13,-0.14,0
2015-08-14,0.43,0
2015-08-17,0.6,0
2015-08-18,-0.35,0
2015-08-19,-0.85,0
2015-08-20,-2.24,0
2015-08-21,-2.95,0
2015-08-24,-3.9,0
2015-08-25,-1.17,0
2015-08-26,3.68,0
2015-08-27,2.4,0
2015-08-28,0.23,0
2015-08-31,-0.74,0
2015-09-01,-2.91,0
2015-09-02,1.81,0
2015-09-03,0.17,0
2015-09-04,-1.39,0
2015-09-08,2.52,0
2015-09-09,-1.34,0
2015-09-10,0.49,0
2015-09-11,0.44,0
2015-09-14,-0.41,0
2015-09-15,1.22,0
2015-09-16,0.84,0
2015-09-17,-0.17,0
2015-09-18,-1.62,0
2015-09-21,0.36,0
2015-09-22,-1.29,0
2015-09-23,-0.27,0
2015-09-24,-0.36,0
2015-09-25,-0.22,0
2015-09-28,-2.63,0
2015-09-29,-0.07,0
2015-09-30,1.88,0
2015-10-01,0.13,0
2015-10-02,1.48,0
2015-10-05,1.93,0
2015-10-06,-0.43,0
2015-10-07,0.94,0
2015-10-08,0.84,0
2015-10-09,0.12,0
2015-10-12,0.06,0
2015-10-13,-0.74,0
2015-10-14,-0.6,0
2015-10-15,1.56,0
2015-10-16,0.36,0
2015-10-19,0,0
2015-10-20,-0.15,0
2015-10-21,-0.74,0
2015-10-22,1.5,0
2015-10-23,1.09,0
2015-10-26,-0.2,0
2015-10-27,-0.42,0
2015-10-28,1.43,0
2015-10-29,-0.2,0
2015-10-30,-0.42,0
2015-11-02,1.25,0
2015-11-03,0.32,0
2015-11-04,-0.26,0
2015-11-05,-0.08,0
2015-11-06,0.14,0
2015-11-09,-0.95,0
2015-11-10,0.13,0
2015-11-11,-0.43,0
2015-11-12,-1.45,0
2015-11-13,-1.07,0
2015-11-16,1.39,0
2015-11-17,-0.11,0
2015-11-18,1.61,0
2015-11-19,-0.13,0
2015-11-20,0.36,0
2015-11-23,-0.01,0
2015-11-24,0.21,0
2015-11-25,0.09,0
2015-11-27,0.09,0
2015-11-30,-0.47,0
2015-12-01,0.97,0
2015-12-02,-1.01,0
2015-12-03,-1.5,0
2015-12-04,1.87,0
2015-12-07,-0.83,0
2015-12-08,-0.59,0
2015-12-09,-0.83,0
2015-12-10,0.3,0
2015-12-11,-2.03,0
2015-12-14,0.29,0
2015-12-15,1.1,0
2015-12-16,1.47,0
2015-12-17,-1.46,0
2015-12-18,-1.7,0
2015-12-21,0.74,0
2015-12-22,0.89,0
2015-12-23,1.29,0
2015-12-24,-0.11,0
2015-12-28,-0.28,0
2015-12-29,1.05,0
2015-12-30,-0.74,0
2015-12-31,-0.92,0
2016-01-04,-1.59,0
2016-01-05,0.12,0
2016-01-06,-1.35,0
2016-01-07,-2.44,0
2016-01-08,-1.11,0
2016-01-11,-0.06,0
2016-01-12,0.72,0
2016-01-13,-2.67,0
2016-01-14,1.65,0
2016-01-15,-2.14,0
2016-01-19,-0.19,0
2016-01-20,-0.94,0
2016-01-21,0.45,0
2016-01-22,2.08,0
2016-01-25,-1.71,0
2016-01-26,1.52,0
2016-01-27,-1.11,0
2016-01-28,0.49,0
2016-01-29,2.57,0
2016-02-01,-0.04,0.001
2016-02-02,-2,0.001
2016-02-03,0.46,0.001
2016-02-04,0.27,0.001
2016-02-05,-2.06,0.001
2016-02-08,-1.51,0.001
2016-02-09,-0.09,0.001
2016-02-10,0.01,0.001
2016-02-11,-1.17,0.001
2016-02-12,1.99,0.001
2016-02-16,1.78,0.001
2016-02-17,1.75,0.001
2016-02-18,-0.51,0.001
2016-02-19,0.06,0.001
2016-02-22,1.43,0.001
2016-02-23,-1.22,0.001
2016-02-24,0.53,0.001
2016-02-25,1.1,0.001
2016-02-26,-0.01,0.001
2016-02-29,-0.69,0.001
2016-03-01,2.34,0.001
2016-03-02,0.54,0.001
2016-03-03,0.5,0.001
2016-03-04,0.37,0.001
2016-03-07,0.21,0.001
2016-03-08,-1.27,0.001
2016-03-09,0.5,0.001
2016-03-10,-0.11,0.001
2016-03-11,1.69,0.001
2016-03-14,-0.12,0.001
2016-03-15,-0.36,0.001
2016-03-16,0.63,0.001
2016-03-17,0.72,0.001
2016-03-18,0.54,0.001
2016-03-21,0.1,0.001
2016-03-22,-0.05,0.001
2016-03-23,-0.86,0.001
2016-03-24,0,0.001
2016-03-28,0.04,0.001
2016-03-29,1.07,0.001
2016-03-30,0.41,0.001
2016-03-31,-0.11,0.001
2016-04-01,0.64,0
2016-04-04,-0.41,0
2016-04-05,-0.94,0
2016-04-06,1.14,0
2016-04-07,-1.23,0
2016-04-08,0.29,0
2016-04-11,-0.28,0
2016-04-12,0.99,0
2016-04-13,1.23,0
2016-04-14,0.03,0
2016-04-15,-0.04,0
2016-04-18,0.65,0
2016-04-19,0.29,0
2016-04-20,0.15,0
2016-04-21,-0.47,0
2016-04-22,0.12,0
2016-04-25,-0.24,0
2016-04-26,0.29,0
2016-04-27,0.21,0
2016-04-28,-0.96,0
2016-04-29,-0.5,0
2016-05-02,0.79,0.001
2016-05-03,-1.05,0.001
2016-05-04,-0.66,0.001
2016-05-05,-0.08,0.001
2016-05-06,0.38,0.001
2016-05-09,0.05,0.001
2016-05-10,1.26,0.001
2016-05-11,-0.89,0.001
2016-05-12,-0.11,0.001
