"date","Mkt.RF","SMB","HML","RF"
2010-11-10,0.53,0.56,0.58,0.001
2010-11-11,-0.35,-0.07,-0.15,0.001
2010-11-12,-1.29,-0.48,-0.05,0.001
2010-11-15,-0.09,0.19,0.32,0.001
2010-11-16,-1.58,-0.34,-0.1,0.001
2010-11-17,0.07,0.36,-0.29,0.001
2010-11-18,1.57,0.32,-0.31,0.001
2010-11-19,0.31,0.2,-0.22,0.001
2010-11-22,-0.02,0.61,-0.96,0.001
2010-11-23,-1.38,0.49,-0.28,0.001
2010-11-24,1.59,0.67,0.04,0.001
2010-11-26,-0.67,0.3,-0.36,0.001
2010-11-29,-0.13,0,0.42,0.001
2010-11-30,-0.59,-0.2,0.02,0.001
2010-12-01,2.12,-0.08,0.01,0.001
2010-12-02,1.23,-0.32,0.64,0.001
2010-12-03,0.35,0.4,0.07,0.001
2010-12-06,-0.03,0.76,-0.05,0.001
2010-12-07,0.1,0.35,0.05,0.001
2010-12-08,0.32,-0.54,0.68,0.001
2010-12-09,0.42,-0.03,0.62,0.001
2010-12-10,0.67,0.44,0.23,0.001
2010-12-13,-0.08,-0.58,0.05,0.001
2010-12-14,0.09,-0.04,-0.12,0.001
2010-12-15,-0.49,0.21,-0.55,0.001
2010-12-16,0.7,0.43,-0.13,0.001
2010-12-17,0.15,0.16,-0.17,0.001
2010-12-20,0.23,-0.01,0.31,0.001
2010-12-21,0.68,0.35,0.75,0.001
2010-12-22,0.29,-0.38,0.82,0.001
2010-12-23,-0.16,0.1,-0.31,0.001
2010-12-27,0.08,0.21,0.47,0.001
2010-12-28,0,-0.43,0.17,0.001
2010-12-29,0.17,0.12,-0.15,0.001
2010-12-30,-0.11,0.14,-0.05,0.001
2010-12-31,-0.1,-0.64,0.23,0.001
2011-01-03,1.18,0.5,0.77,0
2011-01-04,-0.26,-1.38,0.07,0
2011-01-05,0.59,0.59,0.13,0
2011-01-06,-0.15,-0.07,-0.34,0
2011-01-07,-0.21,-0.25,-0.27,0
2011-01-10,-0.02,0.53,-0.16,0
2011-01-11,0.39,0.12,0.18,0
2011-01-12,0.87,-0.07,0.27,0
2011-01-13,-0.17,0.14,-0.35,0
2011-01-14,0.69,0.02,0.59,0
2011-01-18,0.18,0.09,-0.51,0
2011-01-19,-1.24,-1.36,-0.53,0
