Macrotrends Data Download

DAX 30 Index - 27 Year Historical Chart

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.



ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
1992-01-08,1578.7000
1992-01-09,1589.8000
1992-01-10,1615.7000
1992-01-13,1622.7000
1992-01-14,1628.5000
1992-01-15,1667.5000
1992-01-16,1666.3000
1992-01-17,1671.0000
1992-01-20,1677.2000
1992-01-21,1685.3000
1992-01-22,1680.1000
1992-01-23,1669.6000
1992-01-24,1664.8000
1992-01-27,1683.6000
1992-01-28,1683.1000
1992-01-29,1672.4000
1992-01-30,1680.9000
1992-01-31,1687.5000
1992-02-03,1689.0000
1992-02-04,1674.6000
1992-02-05,1686.6000
1992-02-06,1681.1000
1992-02-07,1685.5000
1992-02-10,1682.1000
1992-02-11,1683.6000
1992-02-12,1678.9000
1992-02-13,1681.4000
1992-02-14,1676.5000
1992-02-17,1681.1000
1992-02-18,1695.0000
1992-02-19,1687.8000
1992-02-20,1703.2000
1992-02-21,1717.6000
1992-02-24,1729.1000
1992-02-25,1722.3000
1992-02-26,1737.3000
1992-02-27,1749.9000
1992-02-28,1745.1000
1992-03-02,1747.9000
1992-03-03,1763.3000
1992-03-04,1759.1000
1992-03-05,1764.8000
1992-03-06,1746.0000
1992-03-09,1750.3000
1992-03-10,1750.5000
1992-03-11,1743.4000
1992-03-12,1727.5000
1992-03-13,1732.6000
1992-03-16,1724.8000
1992-03-17,1730.1000
1992-03-18,1732.2000
1992-03-19,1724.6000
1992-03-20,1736.3000
1992-03-23,1717.5000
1992-03-24,1713.1000
1992-03-25,1716.3000
1992-03-26,1719.0000
1992-03-27,1711.5000
1992-03-30,1710.3000
1992-03-31,1717.9000
1992-04-01,1707.3000
1992-04-02,1721.7000
1992-04-03,1719.6000
1992-04-06,1734.6000
1992-04-07,1739.4000
1992-04-08,1720.0000
1992-04-09,1720.3000
1992-04-10,1736.1000
1992-04-13,1727.7000
1992-04-14,1732.5000
1992-04-15,1743.8000
1992-04-16,1749.2000
1992-04-21,1746.5000
1992-04-22,1753.3000
1992-04-23,1752.4000
1992-04-24,1745.7000
1992-04-27,1742.2000
1992-04-28,1735.9000
1992-04-29,1735.9000
1992-04-30,1734.0000
1992-05-04,1728.3000
1992-05-05,1732.6000
1992-05-06,1743.5000
1992-05-07,1750.8000
1992-05-08,1748.2000
1992-05-11,1753.0000
1992-05-12,1751.2000
1992-05-13,1749.4000
1992-05-14,1742.3000
1992-05-15,1724.1000
1992-05-18,1758.4000
1992-05-19,1763.3000
1992-05-20,1787.5000
1992-05-21,1785.5000
1992-05-22,1803.0000
1992-05-25,1811.6000
1992-05-26,1806.7000
1992-05-27,1794.1000
1992-05-29,1803.2000
1992-06-01,1798.1000
1992-06-02,1801.4000
1992-06-03,1788.6000
1992-06-04,1792.3000
1992-06-05,1789.1000
1992-06-09,1786.3000
1992-06-10,1789.8000
1992-06-11,1781.8000
1992-06-12,1782.3000
1992-06-15,1773.9000
1992-06-16,1779.1000
1992-06-17,1771.8000
1992-06-19,1772.9000
1992-06-22,1770.6000
1992-06-23,1771.1000
1992-06-24,1768.5000
1992-06-25,1764.9000
1992-06-26,1754.1000
1992-06-29,1757.1000
1992-06-30,1752.6000
1992-07-01,1756.3000
1992-07-02,1768.6000
1992-07-03,1777.0000
1992-07-06,1772.4000
1992-07-07,1767.5000
1992-07-08,1751.2000
1992-07-09,1757.6000
1992-07-10,1754.5000
1992-07-13,1736.5000
1992-07-14,1734.1000
1992-07-15,1734.6000
1992-07-16,1740.5000
1992-07-17,1702.7000
1992-07-20,1649.7000
1992-07-21,1659.8000
1992-07-22,1628.2000
1992-07-23,1623.4000
1992-07-24,1610.4000
1992-07-27,1618.1000
1992-07-28,1610.6000
1992-07-29,1628.2000
1992-07-30,1624.0000
1992-07-31,1615.4000
1992-08-03,1594.7000
1992-08-04,1611.5000
1992-08-05,1628.8000
1992-08-06,1621.2000
1992-08-07,1609.5000
1992-08-10,1582.6000
1992-08-11,1564.6000
1992-08-12,1553.0000
1992-08-13,1541.0000
1992-08-14,1547.8000
1992-08-17,1555.4000
1992-08-18,1533.2000
1992-08-19,1524.7000
1992-08-20,1513.1000
1992-08-21,1520.0000
1992-08-24,1498.7000
1992-08-25,1468.9000
1992-08-26,1473.3000
1992-08-27,1513.4000
1992-08-28,1516.5000
1992-08-31,1541.3000
1992-09-01,1518.7000
1992-09-02,1506.7000
1992-09-03,1530.8000
1992-09-04,1536.5000
1992-09-07,1540.6000
1992-09-08,1544.6000
1992-09-09,1525.3000
1992-09-10,1528.3000
1992-09-11,1527.8000
1992-09-14,1595.0000
1992-09-15,1587.6000
1992-09-16,1584.6000
1992-09-17,1578.7000
1992-09-18,1589.3000
1992-09-21,1573.9000
1992-09-22,1550.3000
1992-09-23,1557.8000
1992-09-24,1530.9000
1992-09-25,1513.4000
1992-09-28,1475.0000
1992-09-29,1476.3000
1992-09-30,1466.4000
1992-10-01,1484.0000
1992-10-02,1478.0000
1992-10-05,1424.4000
1992-10-06,1420.3000
1992-10-07,1436.1000
1992-10-08,1451.1000
1992-10-09,1439.7000
1992-10-12,1432.5000
1992-10-13,1465.5000
1992-10-14,1458.5000
1992-10-15,1453.4000
1992-10-16,1461.6000
1992-10-19,1479.1000
1992-10-20,1511.6000
1992-10-21,1503.9000
1992-10-22,1510.1000
1992-10-23,1526.8000
1992-10-26,1542.5000
1992-10-27,1533.8000
1992-10-28,1510.3000
1992-10-29,1493.6000
1992-10-30,1492.3000
1992-11-02,1472.6000
1992-11-03,1485.0000
1992-11-04,1472.7000
1992-11-05,1480.9000
1992-11-06,1487.2000
1992-11-09,1508.8000
1992-11-10,1519.1000
1992-11-11,1512.2000
1992-11-12,1535.4000
1992-11-13,1548.5000
1992-11-16,1547.0000
1992-11-17,1545.1000
1992-11-19,1551.7000
1992-11-20,1544.8000
1992-11-23,1530.9000
1992-11-24,1510.3000
1992-11-25,1517.7000
1992-11-26,1523.2000
1992-11-27,1523.0000
1992-11-30,1544.3000
1992-12-01,1544.9000
1992-12-02,1534.0000
1992-12-03,1532.5000
1992-12-04,1522.2000
1992-12-07,1525.3000
1992-12-08,1508.2000
1992-12-09,1500.6000
1992-12-10,1494.5000
1992-12-11,1476.0000
1992-12-14,1469.8000
1992-12-15,1481.2000
1992-12-16,1472.1000
1992-12-17,1476.2000
1992-12-18,1492.0000
1992-12-21,1515.6000
1992-12-22,1523.6000
1992-12-23,1527.0000
1992-12-28,1544.6000
1992-12-29,1542.2000
1992-12-30,1545.1000
1993-01-04,1531.3000
1993-01-05,1556.4000
1993-01-06,1556.4000
1993-01-07,1542.5000
1993-01-08,1531.5000
1993-01-11,1532.0000
1993-01-12,1530.2000
1993-01-13,1516.5000
1993-01-14,1523.7000
1993-01-15,1544.6000
1993-01-18,1573.1000
1993-01-19,1578.8000
1993-01-20,1574.9000
1993-01-21,1573.7000
1993-01-22,1587.6000
1993-01-25,1569.2000
1993-01-26,1576.2000
1993-01-27,1562.3000
1993-01-28,1567.8000
1993-01-29,1571.9000
1993-02-01,1585.2000
1993-02-02,1583.1000
1993-02-03,1601.5000
1993-02-04,1601.6000
1993-02-05,1641.4000
1993-02-08,1647.2000
1993-02-09,1641.6000
1993-02-10,1649.8000
1993-02-11,1651.1000
1993-02-12,1661.4000
1993-02-15,1664.7000
1993-02-16,1664.2000
1993-02-17,1653.3000
1993-02-18,1672.3000
1993-02-19,1677.4000
1993-02-22,1680.7000
1993-02-23,1661.6000
1993-02-24,1644.2000
1993-02-25,1658.9000
1993-02-26,1684.4000
1993-03-01,1701.0000
1993-03-02,1696.7000
1993-03-03,1693.7000
1993-03-04,1687.4000
1993-03-05,1682.8000
1993-03-08,1694.8000
1993-03-09,1713.1000
1993-03-10,1709.7000
1993-03-11,1717.4000
1993-03-12,1707.1000
1993-03-15,1702.6000
1993-03-16,1697.8000
1993-03-17,1685.1000
1993-03-18,1696.2000
1993-03-19,1698.8000
1993-03-22,1661.4000
1993-03-23,1648.4000
1993-03-24,1659.5000
1993-03-25,1657.2000
1993-03-26,1661.3000
