"","date","w_t0","w_t1","w_t2","w_t3","w_t4","w_t5","w_t6","w_ge_t7"
"189",2018-08-06,0,0,0,0,0,0,0,1
"190",2018-08-07,0,0,0,0,0,0,0,1
"191",2018-08-08,0,0,0,0,0,0,0,1
"192",2018-08-09,0,0,0,0,0,0,0,1
"193",2018-08-10,0,0,0,0,0,0,0,1
"194",2018-08-11,0,0,0,0,0,0,0,1
"195",2018-08-12,0,0,0,0,0,0,0,1
"196",2018-08-13,0,0,0,0,0,0,0,1
"197",2018-08-14,0,0,0,0,0,0,0,1
"198",2018-08-15,0,0,0,0,0,0,0,1
"199",2018-08-16,0,0,0,0,0,0,0,1
"200",2018-08-17,0,0,0,0,0,0,0,1
"201",2018-08-18,0,0,0,0,0,0,0,1
"202",2018-08-19,0,0,0,0,0,0,0,1
"203",2018-08-20,0,0,0,0,0,0,0,1
"204",2018-08-21,0,0,0,0,0,0,0,1
"205",2018-08-22,0,0,0,0,0,0,0,1
"206",2018-08-23,0,0,0,0,0,0,0,1
"207",2018-08-24,0,0,0,0,0,0,0,1
"208",2018-08-25,0,0,0,0,0,0,0,1
"209",2018-08-26,0,0,0,0,0,0,0,1
"210",2018-08-27,0,0,0,0,0,0,0,1
"211",2018-08-28,0,0,0,0,0,0,0,1
"212",2018-08-29,0,0,0,0,0,0,0,1
"213",2018-08-30,0,0,0,0,0,0,0,1
"214",2018-08-31,1,0,0,0,0,0,0,0
"215",2018-09-01,1,0,0,0,0,0,0,0
"216",2018-09-02,1,0,0,0,0,0,0,0
"217",2018-09-03,1,0,0,0,0,0,0,0
"218",2018-09-04,1,0,0,0,0,0,0,0
"219",2018-09-05,1,0,0,0,0,0,0,0
"220",2018-09-06,1,0,0,0,0,0,0,0
"221",2018-09-07,0,1,0,0,0,0,0,0
"222",2018-09-08,0,1,0,0,0,0,0,0
"223",2018-09-09,0,1,0,0,0,0,0,0
"224",2018-09-10,0,1,0,0,0,0,0,0
"225",2018-09-11,0,1,0,0,0,0,0,0
"226",2018-09-12,0,1,0,0,0,0,0,0
"227",2018-09-13,0,1,0,0,0,0,0,0
"228",2018-09-14,0,0,1,0,0,0,0,0
"229",2018-09-15,0,0,1,0,0,0,0,0
"230",2018-09-16,0,0,1,0,0,0,0,0
"231",2018-09-17,0,0,1,0,0,0,0,0
"232",2018-09-18,0,0,1,0,0,0,0,0
"233",2018-09-19,0,0,1,0,0,0,0,0
"234",2018-09-20,0,0,1,0,0,0,0,0
"235",2018-09-21,0,0,0,1,0,0,0,0
"236",2018-09-22,0,0,0,1,0,0,0,0
"237",2018-09-23,0,0,0,1,0,0,0,0
"238",2018-09-24,0,0,0,1,0,0,0,0
"239",2018-09-25,1,0,0,0,0,0,0,0
"240",2018-09-26,1,0,0,0,0,0,0,0
"241",2018-09-27,1,0,0,0,0,0,0,0
"242",2018-09-28,1,0,0,0,0,0,0,0
"243",2018-09-29,1,0,0,0,0,0,0,0
"244",2018-09-30,1,0,0,0,0,0,0,0
"245",2018-10-01,1,0,0,0,0,0,0,0
"246",2018-10-02,0,1,0,0,0,0,0,0
"247",2018-10-03,0,1,0,0,0,0,0,0
"248",2018-10-04,0,1,0,0,0,0,0,0
"249",2018-10-05,0,1,0,0,0,0,0,0
"250",2018-10-06,0,1,0,0,0,0,0,0
"251",2018-10-07,0,1,0,0,0,0,0,0
"252",2018-10-08,0,1,0,0,0,0,0,0
"253",2018-10-09,0,0,1,0,0,0,0,0
"254",2018-10-10,0,0,1,0,0,0,0,0
"255",2018-10-11,0,0,1,0,0,0,0,0
"256",2018-10-12,0,0,1,0,0,0,0,0
"257",2018-10-13,0,0,1,0,0,0,0,0
"258",2018-10-14,0,0,1,0,0,0,0,0
"259",2018-10-15,0,0,1,0,0,0,0,0
"260",2018-10-16,0,0,0,1,0,0,0,0
"261",2018-10-17,0,0,0,1,0,0,0,0
"262",2018-10-18,0,0,0,1,0,0,0,0
"263",2018-10-19,0,0,0,1,0,0,0,0
"264",2018-10-20,0,0,0,1,0,0,0,0
"265",2018-10-21,0,0,0,1,0,0,0,0
"266",2018-10-22,0,0,0,1,0,0,0,0
"267",2018-10-23,0,0,0,0,1,0,0,0
"268",2018-10-24,0,0,0,0,1,0,0,0
"269",2018-10-25,0,0,0,0,1,0,0,0
"270",2018-10-26,0,0,0,0,1,0,0,0
"271",2018-10-27,0,0,0,0,1,0,0,0
"272",2018-10-28,0,0,0,0,1,0,0,0
"273",2018-10-29,0,0,0,0,1,0,0,0
"274",2018-10-30,0,0,0,0,0,1,0,0
"275",2018-10-31,0,0,0,0,0,1,0,0
"276",2018-11-01,0,0,0,0,0,1,0,0
"277",2018-11-02,0,0,0,0,0,1,0,0
"278",2018-11-03,0,0,0,0,0,1,0,0
"279",2018-11-04,0,0,0,0,0,1,0,0
"280",2018-11-05,0,0,0,0,0,1,0,0
"281",2018-11-06,0,0,0,0,0,0,1,0
"282",2018-11-07,1,0,0,0,0,0,0,0
"283",2018-11-08,1,0,0,0,0,0,0,0
"284",2018-11-09,1,0,0,0,0,0,0,0
"285",2018-11-10,1,0,0,0,0,0,0,0
